City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Qaanaaq,77.484,-69.3632,29.48,87,100,11.18,GL,2021-10-10 17:12:52
1,Nome,64.5011,-165.4064,26.67,93,40,5.75,US,2021-10-10 17:12:52
2,Inirida,3.8653,-67.9239,90.9,54,97,2.55,CO,2021-10-10 17:12:53
3,Albany,42.6001,-73.9662,67.17,75,91,3.0,US,2021-10-10 17:10:28
4,Yangmei,24.1023,112.5618,62.64,96,100,6.64,CN,2021-10-10 17:12:53
5,Dicabisagan,17.0818,122.4157,78.58,87,99,6.87,PH,2021-10-10 17:12:53
6,Pevek,69.7008,170.3133,22.06,91,100,6.55,RU,2021-10-10 17:11:27
7,Gargzdai,55.7128,21.4033,45.86,70,4,5.66,LT,2021-10-10 17:12:54
8,Indianola,41.3581,-93.5574,73.31,68,100,7.81,US,2021-10-10 17:12:54
9,Bluff,-46.6,168.3333,53.8,70,100,12.71,NZ,2021-10-10 17:12:54
10,Ponta Do Sol,32.6667,-17.1,76.71,71,13,2.95,PT,2021-10-10 17:12:55
11,Hohhot,40.8106,111.6522,41.9,34,0,3.65,CN,2021-10-10 17:12:55
12,Mataura,-46.1927,168.8643,53.47,86,100,2.55,NZ,2021-10-10 17:12:55
13,San Pedro,14.35,121.0167,81.36,84,47,9.01,PH,2021-10-10 17:12:56
14,Ushuaia,-54.8,-68.3,49.66,32,20,18.41,AR,2021-10-10 17:10:23
15,Omboue,-1.5746,9.2618,77.85,82,97,7.31,GA,2021-10-10 17:12:56
16,Vaini,-21.2,-175.2,69.96,100,75,2.3,TO,2021-10-10 17:11:04
17,Dunkwa,5.9656,-1.78,77.81,94,76,4.09,GH,2021-10-10 17:12:56
18,Rikitea,-23.1203,-134.9692,74.62,81,100,19.13,PF,2021-10-10 17:12:57
19,Kapaa,22.0752,-159.319,76.12,77,75,5.01,US,2021-10-10 17:12:57
20,Hobart,-42.8794,147.3294,41.25,80,28,1.01,AU,2021-10-10 17:12:57
21,Ola,59.5833,151.2833,31.42,63,1,6.11,RU,2021-10-10 17:12:57
22,Sola,-13.8833,167.55,79.38,79,99,18.12,VU,2021-10-10 17:12:58
23,Cidreira,-30.1811,-50.2056,66.24,80,90,16.93,BR,2021-10-10 17:11:14
24,Diamantina,-18.2494,-43.6003,63.73,86,100,3.53,BR,2021-10-10 17:12:58
25,Lagoa,39.05,-27.9833,70.18,87,100,18.97,PT,2021-10-10 17:12:59
26,Kahului,20.8947,-156.47,75.85,82,40,17.27,US,2021-10-10 17:10:39
27,Prieska,-29.6641,22.7474,69.06,6,0,7.85,ZA,2021-10-10 17:12:59
28,Atuona,-9.8,-139.0333,77.99,72,5,17.02,PF,2021-10-10 17:12:59
29,Graham,47.0529,-122.2943,51.46,82,75,3.0,US,2021-10-10 17:13:00
30,Martapura,-3.4167,114.85,73.49,100,90,3.44,ID,2021-10-10 17:13:00
31,Katsuura,35.1333,140.3,73.51,68,76,12.57,JP,2021-10-10 17:13:00
32,Castro,-24.7911,-50.0119,57.56,96,100,7.96,BR,2021-10-10 17:13:00
33,Saint-Philippe,-21.3585,55.7679,72.99,87,22,8.97,RE,2021-10-10 17:13:01
34,Bonthe,7.5264,-12.505,82.6,74,71,9.1,SL,2021-10-10 17:13:01
35,Sauce,-34.6469,-56.0628,66.13,69,57,9.95,UY,2021-10-10 17:13:02
36,Praia,14.9215,-23.5087,88.34,51,0,16.11,CV,2021-10-10 17:13:02
37,Grindavik,63.8424,-22.4338,41.47,93,75,10.36,IS,2021-10-10 17:13:03
38,Irece,-11.3042,-41.8558,93.4,21,22,9.75,BR,2021-10-10 17:13:03
39,Olavarria,-36.8927,-60.3225,65.01,72,54,9.35,AR,2021-10-10 17:10:54
40,Upernavik,72.7868,-56.1549,32.25,99,100,10.65,GL,2021-10-10 17:13:03
41,Yellowknife,62.456,-114.3525,37.42,100,90,12.66,CA,2021-10-10 17:13:04
42,Arraial Do Cabo,-22.9661,-42.0278,69.66,83,90,14.97,BR,2021-10-10 17:10:26
43,Dikson,73.5069,80.5464,29.19,75,100,22.88,RU,2021-10-10 17:13:04
44,Rocha,-34.4833,-54.3333,64.78,65,81,15.5,UY,2021-10-10 17:08:44
45,Port Elizabeth,-33.918,25.5701,61.11,68,1,18.23,ZA,2021-10-10 17:08:52
46,Kavieng,-2.5744,150.7967,82.0,78,83,8.41,PG,2021-10-10 17:13:04
47,Vinh,18.6667,105.6667,75.97,95,100,6.13,VN,2021-10-10 17:13:05
48,Sur,22.5667,59.5289,83.35,60,2,2.1,OM,2021-10-10 17:13:05
49,Mahebourg,-20.4081,57.7,74.25,88,78,12.21,MU,2021-10-10 17:10:29
50,Busselton,-33.65,115.3333,53.1,72,100,11.23,AU,2021-10-10 17:13:05
51,Acapulco,16.8634,-99.8901,85.82,74,40,11.5,MX,2021-10-10 17:12:57
52,Umm Kaddadah,13.6017,26.6876,96.04,15,95,8.61,SD,2021-10-10 17:13:06
53,Kalakamati,-20.5929,27.3121,59.54,80,27,25.93,BW,2021-10-10 17:13:06
54,Nishihara,26.1842,127.7558,82.06,92,90,23.02,JP,2021-10-10 17:13:06
55,Cortez,37.3489,-108.5859,60.42,47,1,13.8,US,2021-10-10 17:13:07
56,Mgandu,-5.95,34.1333,78.51,30,95,7.94,TZ,2021-10-10 17:09:15
57,Olafsvik,64.8945,-23.7142,40.48,65,93,5.99,IS,2021-10-10 17:13:07
58,Atar,20.5169,-13.0499,99.84,10,15,13.2,MR,2021-10-10 17:13:08
59,Hilo,19.7297,-155.09,75.27,92,90,5.75,US,2021-10-10 17:10:24
60,Beringovskiy,63.05,179.3167,30.47,86,99,10.6,RU,2021-10-10 17:13:08
61,Hanzhong,33.0728,107.0303,50.72,86,100,0.65,CN,2021-10-10 17:13:08
62,Punta Arenas,-53.15,-70.9167,53.71,32,20,31.07,CL,2021-10-10 17:10:23
63,Marsa Matruh,31.3525,27.2453,74.91,69,0,10.36,EG,2021-10-10 17:13:09
64,Thompson,55.7435,-97.8558,42.96,100,90,5.75,CA,2021-10-10 17:13:09
65,Ballina,-28.8667,153.5667,71.78,85,75,11.63,AU,2021-10-10 17:13:09
66,Vostok,46.4856,135.8833,37.76,93,99,15.68,RU,2021-10-10 17:13:09
67,Butaritari,3.0707,172.7902,81.48,71,17,14.36,KI,2021-10-10 17:13:10
68,San Borja,-14.8167,-66.85,102.47,29,76,7.85,BO,2021-10-10 17:13:10
69,Banjar,-8.19,114.9675,76.91,89,72,6.98,ID,2021-10-10 17:13:10
70,Saint-Agapit,46.5629,-71.4352,60.35,73,100,3.49,CA,2021-10-10 17:13:11
71,El Alto,-4.2714,-81.2147,73.06,74,44,8.9,PE,2021-10-10 17:13:11
72,Leningradskiy,69.3833,178.4167,18.09,91,100,4.85,RU,2021-10-10 17:13:12
73,Lompoc,34.6391,-120.4579,76.08,56,1,1.01,US,2021-10-10 17:11:16
74,Iberia,29.9502,-91.7507,84.96,65,20,12.66,US,2021-10-10 17:12:51
75,Puerto Ayora,-0.7393,-90.3518,75.16,85,88,8.01,EC,2021-10-10 17:13:12
76,Hofn,64.2539,-15.2082,42.94,89,98,3.58,IS,2021-10-10 17:13:13
77,Ginda,30.6945,78.4932,57.79,53,0,6.78,IN,2021-10-10 17:13:13
78,Sitka,57.0531,-135.33,44.49,87,75,6.91,US,2021-10-10 17:10:36
79,Bredasdorp,-34.5322,20.0403,57.72,84,82,6.26,ZA,2021-10-10 17:13:13
80,Saint-Francois,46.4154,3.9054,58.44,74,0,4.61,FR,2021-10-10 17:13:14
81,Esperance,-33.8667,121.9,54.52,58,90,17.47,AU,2021-10-10 17:13:14
82,Bambous Virieux,-20.3428,57.7575,74.21,88,81,11.9,MU,2021-10-10 17:13:14
83,Tual,-5.6667,132.75,81.21,82,66,4.32,ID,2021-10-10 17:13:15
84,Kloulklubed,7.0419,134.2556,75.7,73,94,13.04,PW,2021-10-10 17:13:15
85,Tiksi,71.6872,128.8694,27.3,90,100,4.21,RU,2021-10-10 17:13:15
86,Souillac,-20.5167,57.5167,74.35,90,78,11.99,MU,2021-10-10 17:13:16
87,Cedar Lake,41.3648,-87.4411,79.9,68,92,13.78,US,2021-10-10 17:13:16
88,Necochea,-38.5473,-58.7368,67.03,63,0,10.51,AR,2021-10-10 17:13:16
89,Jamestown,42.097,-79.2353,70.02,75,40,7.0,US,2021-10-10 17:12:25
90,Jacareacanga,-6.2222,-57.7528,99.03,31,33,3.74,BR,2021-10-10 17:13:17
91,Pierre,44.3683,-100.351,60.85,58,1,1.01,US,2021-10-10 17:11:02
92,Mar Del Plata,-38.0023,-57.5575,62.62,27,40,13.0,AR,2021-10-10 17:13:17
93,Tasiilaq,65.6145,-37.6368,33.96,64,0,4.47,GL,2021-10-10 17:10:39
94,Norman Wells,65.282,-126.8329,32.04,93,90,9.22,CA,2021-10-10 17:13:17
95,East London,-33.0153,27.9116,62.58,62,3,14.99,ZA,2021-10-10 17:13:18
96,Los Andes,-32.8337,-70.5983,68.9,45,8,7.34,CL,2021-10-10 17:13:18
97,Port Blair,11.6667,92.75,80.4,86,91,14.25,IN,2021-10-10 17:13:18
98,Jieshi,22.8134,115.8257,82.94,79,58,4.03,CN,2021-10-10 17:13:19
99,Constitucion,-35.3333,-72.4167,59.67,62,11,10.8,CL,2021-10-10 17:11:29
100,Pula,44.8683,13.8481,53.49,71,20,18.41,HR,2021-10-10 17:13:19
101,New Norfolk,-42.7826,147.0587,40.91,69,72,2.59,AU,2021-10-10 17:13:19
102,Touros,-5.1989,-35.4608,88.7,54,62,14.12,BR,2021-10-10 17:12:36
103,Mahon,39.8885,4.2658,66.76,68,20,8.05,ES,2021-10-10 17:13:20
104,Yatou,37.15,122.3833,59.65,50,100,15.61,CN,2021-10-10 17:13:20
105,Hermanus,-34.4187,19.2345,64.65,64,96,3.13,ZA,2021-10-10 17:13:20
106,Moron,-34.6534,-58.6198,70.81,69,67,5.01,AR,2021-10-10 17:13:21
107,Yakeshi,49.2833,120.7333,35.76,79,3,11.3,CN,2021-10-10 17:13:21
108,Kalmunai,7.4167,81.8167,82.13,77,100,1.81,LK,2021-10-10 17:13:21
109,Acarau,-2.8856,-40.12,88.0,58,59,19.37,BR,2021-10-10 17:13:22
110,Port Alfred,-33.5906,26.891,61.59,61,14,17.0,ZA,2021-10-10 17:13:22
111,Kodiak,57.79,-152.4072,42.31,56,1,10.36,US,2021-10-10 17:10:40
112,Sao Joao Da Barra,-21.6403,-41.0511,69.89,90,100,13.87,BR,2021-10-10 17:11:05
113,Marzuq,14.4,46.4667,81.52,52,87,5.82,YE,2021-10-10 17:13:22
114,Byron Bay,-28.65,153.6167,71.71,86,77,17.36,AU,2021-10-10 17:08:33
115,Pacific Grove,36.6177,-121.9166,70.14,76,1,4.0,US,2021-10-10 17:09:41
116,Dalen,52.6992,6.7556,56.86,87,10,4.0,NL,2021-10-10 17:13:23
117,Saint Anthony,45.0205,-93.218,71.11,72,75,5.01,US,2021-10-10 17:13:23
118,Kumluca,36.3703,30.2869,76.69,55,0,6.6,TR,2021-10-10 17:13:23
119,La Ronge,55.1001,-105.2842,49.06,43,100,5.28,CA,2021-10-10 17:13:24
120,Mana,5.6592,-53.7767,88.12,61,99,9.22,GF,2021-10-10 17:13:24
121,Ribeira Grande,38.5167,-28.7,72.0,94,75,17.27,PT,2021-10-10 17:13:24
122,Cape Town,-33.9258,18.4232,68.09,69,98,1.01,ZA,2021-10-10 17:13:25
123,Ashcroft,50.7165,-121.2859,45.63,83,100,5.01,CA,2021-10-10 17:13:25
124,Nantucket,41.2835,-70.0995,65.01,85,100,21.9,US,2021-10-10 17:13:25
125,Uchiza,-8.4592,-76.4633,91.94,45,20,3.24,PE,2021-10-10 17:13:26
126,Newport,51.5877,-2.9984,63.45,73,70,5.99,GB,2021-10-10 17:11:48
127,Isangel,-19.55,169.2667,69.93,82,32,11.48,VU,2021-10-10 17:12:15
128,Cabo San Lucas,22.8909,-109.9124,92.52,44,20,3.0,MX,2021-10-10 17:10:12
129,Suntar,62.1444,117.6319,33.87,83,100,13.04,RU,2021-10-10 17:13:26
130,Guerrero Negro,27.9769,-114.0611,74.34,52,0,5.01,MX,2021-10-10 17:10:39
131,Bathsheba,13.2167,-59.5167,83.01,83,75,18.41,BB,2021-10-10 17:13:26
132,Kruisfontein,-34.0033,24.7314,58.89,66,4,16.82,ZA,2021-10-10 17:13:27
133,Chuy,-33.6971,-53.4616,64.2,69,72,16.04,UY,2021-10-10 17:13:27
134,Yerofey Pavlovich,53.9667,121.9667,31.12,79,28,4.85,RU,2021-10-10 17:13:27
